ParticipantName	PresentationSequence	MediaName	RecordingTimestamp	StudioEventIndex	GazePointX (ADCSpx)	GazePointY (ADCSpx)	ValidityLeft	ValidityRight	
P72	7	Flip_B2_G1.wmv	6995		1101	591	0	0	
P72	7	Flip_B2_G1.wmv	7011		1110	586	0	0	
P72	7	Flip_B2_G1.wmv	7028		1101	597	0	0	
P72	7	Flip_B2_G1.wmv	7044		1108	593	0	0	
P72	7	Flip_B2_G1.wmv	7061		1104	594	0	0	
P72	7	Flip_B2_G1.wmv	7078		1102	594	0	0	
P72	7	Flip_B2_G1.wmv	7094		1089	567	0	0	
P72	7	Flip_B2_G1.wmv	7111		1087	567	0	0	
P72	7	Flip_B2_G1.wmv	7128		1088	561	0	0	
P72	7	Flip_B2_G1.wmv	7144		1089	562	0	0	
P72	7	Flip_B2_G1.wmv	7161		1089	570	0	0	
P72	7	Flip_B2_G1.wmv	7178		1090	558	0	0	
P72	7	Flip_B2_G1.wmv	7194		1090	564	0	0	
P72	7	Flip_B2_G1.wmv	7211		1087	566	0	0	
P72	7	Flip_B2_G1.wmv	7228		1088	563	0	0	
P72	7	Flip_B2_G1.wmv	7244		1088	559	0	0	
P72	7	Flip_B2_G1.wmv	7261		1087	564	0	0	
P72	7	Flip_B2_G1.wmv	7278		1088	563	0	0	
P72	7	Flip_B2_G1.wmv	7294		1086	562	0	0	
P72	7	Flip_B2_G1.wmv	7311		1089	563	0	0	
P72	7	Flip_B2_G1.wmv	7328		1092	561	0	0	
P72	7	Flip_B2_G1.wmv	7344		1091	560	0	0	
P72	7	Flip_B2_G1.wmv	7361		1092	556	0	0	
P72	7	Flip_B2_G1.wmv	7378		1095	563	0	0	
P72	7	Flip_B2_G1.wmv	7394		1091	560	0	0	
P72	7	Flip_B2_G1.wmv	7411		1092	559	0	0	
P72	7	Flip_B2_G1.wmv	7428		1094	560	0	0	
P72	7	Flip_B2_G1.wmv	7444		1088	564	0	0	
P72	7	Flip_B2_G1.wmv	7461		1097	558	0	0	
P72	7	Flip_B2_G1.wmv	7478		1090	560	0	0	
P72	7	Flip_B2_G1.wmv	7494		1105	590	0	0	
P72	7	Flip_B2_G1.wmv	7511		1115	618	0	0	
P72	7	Flip_B2_G1.wmv	7528		1114	623	0	0	
P72	7	Flip_B2_G1.wmv	7544		1115	627	0	0	
P72	7	Flip_B2_G1.wmv	7561		1112	629	0	0	
P72	7	Flip_B2_G1.wmv	7578		1118	631	0	0	
P72	7	Flip_B2_G1.wmv	7594		1121	623	0	0	
P72	7	Flip_B2_G1.wmv	7611		1115	625	0	0	
P72	7	Flip_B2_G1.wmv	7627		1113	624	0	0	
P72	7	Flip_B2_G1.wmv	7644		1113	629	0	0	
P72	7	Flip_B2_G1.wmv	7661		1115	628	0	0	
P72	7	Flip_B2_G1.wmv	7677		1114	627	0	0	
P72	7	Flip_B2_G1.wmv	7694		1118	623	0	0	
P72	7	Flip_B2_G1.wmv	7711		1114	625	0	0	
P72	7	Flip_B2_G1.wmv	7727		1113	629	0	0	
P72	7	Flip_B2_G1.wmv	7744		1114	628	0	0	
P72	7	Flip_B2_G1.wmv	7761		1117	626	0	0	
P72	7	Flip_B2_G1.wmv	7777		1115	627	0	0	
P72	7	Flip_B2_G1.wmv	7794		1115	630	0	0	
P72	7	Flip_B2_G1.wmv	7811		1113	635	0	0	
